Sexo;Comunidad autónoma;Tipos atención sanitaria;Sí o no;Total
Ambos sexos;Murcia, Región de;Atención médica;No consta;0,0
Ambos sexos;Murcia, Región de;Atención dental;TOTAL;1.242,4
Ambos sexos;Murcia, Región de;Atención dental;Sí;205,5
Ambos sexos;Murcia, Región de;Atención dental;No;1.007,3
Ambos sexos;Murcia, Región de;Atención dental;No necesitó asistencia;29,5
Ambos sexos;Murcia, Región de;Atención dental;No consta;0,0
Ambos sexos;Murcia, Región de;Medicamento recetado;TOTAL;1.242,4
Ambos sexos;Murcia, Región de;Medicamento recetado;Sí;21,0
Ambos sexos;Murcia, Región de;Medicamento recetado;No;1.130,4
Ambos sexos;Murcia, Región de;Medicamento recetado;No necesitó asistencia;91,0
Ambos sexos;Murcia, Región de;Medicamento recetado;No consta;0,0
Ambos sexos;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);TOTAL;1.242,4
Ambos sexos;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);Sí;36,0
Ambos sexos;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);No;961,3
Ambos sexos;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;245,2
Ambos sexos;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;Navarra, Comunidad Foral de;Atención médica;TOTAL;547,4
Ambos sexos;Navarra, Comunidad Foral de;Atención médica;Sí;3,4
Ambos sexos;Navarra, Comunidad Foral de;Atención médica;No;537,9
Ambos sexos;Navarra, Comunidad Foral de;Atención médica;No necesitó asistencia;6,1
Ambos sexos;Navarra, Comunidad Foral de;Atención médica;No consta;0,0
Ambos sexos;Navarra, Comunidad Foral de;Atención dental;TOTAL;547,4
Ambos sexos;Navarra, Comunidad Foral de;Atención dental;Sí;96,0
Ambos sexos;Navarra, Comunidad Foral de;Atención dental;No;419,2
Ambos sexos;Navarra, Comunidad Foral de;Atención dental;No necesitó asistencia;32,2
Ambos sexos;Navarra, Comunidad Foral de;Atención dental;No consta;0,0
Ambos sexos;Navarra, Comunidad Foral de;Medicamento recetado;TOTAL;547,4
Ambos sexos;Navarra, Comunidad Foral de;Medicamento recetado;Sí;12,3
Ambos sexos;Navarra, Comunidad Foral de;Medicamento recetado;No;517,0
Ambos sexos;Navarra, Comunidad Foral de;Medicamento recetado;No necesitó asistencia;18,1
Ambos sexos;Navarra, Comunidad Foral de;Medicamento recetado;No consta;0,0
Ambos sexos;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);TOTAL;547,4
Ambos sexos;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);Sí;6,9
Ambos sexos;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);No;344,6
Ambos sexos;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;195,8
Ambos sexos;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;País Vasco;Atención médica;TOTAL;1.863,3
Ambos sexos;País Vasco;Atención médica;Sí;26,6
Ambos sexos;País Vasco;Atención médica;No;1.813,7
Ambos sexos;País Vasco;Atención médica;No necesitó asistencia;21,5
Ambos sexos;País Vasco;Atención médica;No consta;1,4
Ambos sexos;País Vasco;Atención dental;TOTAL;1.863,3
Ambos sexos;País Vasco;Atención dental;Sí;112,8
Ambos sexos;País Vasco;Atención dental;No;1.668,1
Ambos sexos;País Vasco;Atención dental;No necesitó asistencia;75,7
Ambos sexos;País Vasco;Atención dental;No consta;6,7
Ambos sexos;País Vasco;Medicamento recetado;TOTAL;1.863,3
Ambos sexos;País Vasco;Medicamento recetado;Sí;27,6
Ambos sexos;País Vasco;Medicamento recetado;No;1.755,7
Ambos sexos;País Vasco;Medicamento recetado;No necesitó asistencia;77,1
Ambos sexos;País Vasco;Medicamento recetado;No consta;2,9
Ambos sexos;País Vasco;Atención salud mental (psicólogo, psiquiatra...);TOTAL;1.863,3
Ambos sexos;País Vasco;Atención salud mental (psicólogo, psiquiatra...);Sí;12,5
Ambos sexos;País Vasco;Atención salud mental (psicólogo, psiquiatra...);No;1.371,3
Ambos sexos;País Vasco;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;472,4
Ambos sexos;País Vasco;Atención salud mental (psicólogo, psiquiatra...);No consta;7,1
Ambos sexos;Rioja, La;Atención médica;TOTAL;267,4
Ambos sexos;Rioja, La;Atención médica;Sí;0,2
Ambos sexos;Rioja, La;Atención médica;No;263,4
Ambos sexos;Rioja, La;Atención médica;No necesitó asistencia;3,7
Ambos sexos;Rioja, La;Atención médica;No consta;0,0
Ambos sexos;Rioja, La;Atención dental;TOTAL;267,4
Ambos sexos;Rioja, La;Atención dental;Sí;25,8
Ambos sexos;Rioja, La;Atención dental;No;233,6
Ambos sexos;Rioja, La;Atención dental;No necesitó asistencia;7,9
Ambos sexos;Rioja, La;Atención dental;No consta;0,0
Ambos sexos;Rioja, La;Medicamento recetado;TOTAL;267,4
Ambos sexos;Rioja, La;Medicamento recetado;Sí;3,7
Ambos sexos;Rioja, La;Medicamento recetado;No;256,1
Ambos sexos;Rioja, La;Medicamento recetado;No necesitó asistencia;7,5
Ambos sexos;Rioja, La;Medicamento recetado;No consta;0,0
Ambos sexos;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);TOTAL;267,4
Ambos sexos;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);Sí;1,6
Ambos sexos;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);No;191,1
Ambos sexos;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;74,6
Ambos sexos;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;Ceuta;Atención médica;TOTAL;66,8
Ambos sexos;Ceuta;Atención médica;Sí;0,0
Ambos sexos;Ceuta;Atención médica;No;66,8
Ambos sexos;Ceuta;Atención médica;No necesitó asistencia;0,0
Ambos sexos;Ceuta;Atención médica;No consta;0,0
Ambos sexos;Ceuta;Atención dental;TOTAL;66,8
Ambos sexos;Ceuta;Atención dental;Sí;2,1
Ambos sexos;Ceuta;Atención dental;No;64,7
Ambos sexos;Ceuta;Atención dental;No necesitó asistencia;0,0
Ambos sexos;Ceuta;Atención dental;No consta;0,0
Ambos sexos;Ceuta;Medicamento recetado;TOTAL;66,8
Ambos sexos;Ceuta;Medicamento recetado;Sí;0,2
Ambos sexos;Ceuta;Medicamento recetado;No;66,6
Ambos sexos;Ceuta;Medicamento recetado;No necesitó asistencia;0,0
Ambos sexos;Ceuta;Medicamento recetado;No consta;0,0
Ambos sexos;Ceuta;Atención salud mental (psicólogo, psiquiatra...);TOTAL;66,8
Ambos sexos;Ceuta;Atención salud mental (psicólogo, psiquiatra...);Sí;0,0
Ambos sexos;Ceuta;Atención salud mental (psicólogo, psiquiatra...);No;65,7
Ambos sexos;Ceuta;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;1,1
Ambos sexos;Ceuta;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Ambos sexos;Melilla;Atención médica;TOTAL;64,3
Ambos sexos;Melilla;Atención médica;Sí;5,7
Ambos sexos;Melilla;Atención médica;No;48,2
Ambos sexos;Melilla;Atención médica;No necesitó asistencia;10,4
Ambos sexos;Melilla;Atención médica;No consta;0,0
Ambos sexos;Melilla;Atención dental;TOTAL;64,3
Ambos sexos;Melilla;Atención dental;Sí;5,4
Ambos sexos;Melilla;Atención dental;No;36,6
Ambos sexos;Melilla;Atención dental;No necesitó asistencia;22,3
Ambos sexos;Melilla;Atención dental;No consta;0,0
Ambos sexos;Melilla;Medicamento recetado;TOTAL;64,3
Ambos sexos;Melilla;Medicamento recetado;Sí;0,5
Ambos sexos;Melilla;Medicamento recetado;No;35,7
Ambos sexos;Melilla;Medicamento recetado;No necesitó asistencia;28,1
Ambos sexos;Melilla;Medicamento recetado;No consta;0,0
Ambos sexos;Melilla;Atención salud mental (psicólogo, psiquiatra...);TOTAL;64,3
Ambos sexos;Melilla;Atención salud mental (psicólogo, psiquiatra...);Sí;0,0
Ambos sexos;Melilla;Atención salud mental (psicólogo, psiquiatra...);No;13,0
Ambos sexos;Melilla;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;51,3
Ambos sexos;Melilla;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Total Nacional;Atención médica;TOTAL;19.449,1
Hombres;Total Nacional;Atención médica;Sí;289,1
Hombres;Total Nacional;Atención médica;No;18.298,2
Hombres;Total Nacional;Atención médica;No necesitó asistencia;853,4
Hombres;Total Nacional;Atención médica;No consta;8,4
Hombres;Total Nacional;Atención dental;TOTAL;19.449,1
Hombres;Total Nacional;Atención dental;Sí;1.636,3
Hombres;Total Nacional;Atención dental;No;15.721,3
Hombres;Total Nacional;Atención dental;No necesitó asistencia;2.074,9
Hombres;Total Nacional;Atención dental;No consta;16,6
Hombres;Total Nacional;Medicamento recetado;TOTAL;19.449,1
Hombres;Total Nacional;Medicamento recetado;Sí;147,7
Hombres;Total Nacional;Medicamento recetado;No;17.256,6
Hombres;Total Nacional;Medicamento recetado;No necesitó asistencia;2.034,7
Hombres;Total Nacional;Medicamento recetado;No consta;10,1
Hombres;Total Nacional;Atención salud mental (psicólogo, psiquiatra...);TOTAL;19.449,1
Hombres;Total Nacional;Atención salud mental (psicólogo, psiquiatra...);Sí;93,2
Hombres;Total Nacional;Atención salud mental (psicólogo, psiquiatra...);No;11.974,4
Hombres;Total Nacional;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;7.367,5
Hombres;Total Nacional;Atención salud mental (psicólogo, psiquiatra...);No consta;14,1
Hombres;Andalucía;Atención médica;TOTAL;3.473,0
Hombres;Andalucía;Atención médica;Sí;44,5
Hombres;Andalucía;Atención médica;No;3.322,4
Hombres;Andalucía;Atención médica;No necesitó asistencia;106,1
Hombres;Andalucía;Atención médica;No consta;0,0
Hombres;Andalucía;Atención dental;TOTAL;3.473,0
Hombres;Andalucía;Atención dental;Sí;185,3
Hombres;Andalucía;Atención dental;No;3.124,5
Hombres;Andalucía;Atención dental;No necesitó asistencia;163,2
Hombres;Andalucía;Atención dental;No consta;0,0
Hombres;Andalucía;Medicamento recetado;TOTAL;3.473,0
Hombres;Andalucía;Medicamento recetado;Sí;20,2
Hombres;Andalucía;Medicamento recetado;No;3.326,9
Hombres;Andalucía;Medicamento recetado;No necesitó asistencia;125,9
Hombres;Andalucía;Medicamento recetado;No consta;0,0
Hombres;Andalucía;Atención salud mental (psicólogo, psiquiatra...);TOTAL;3.473,0
Hombres;Andalucía;Atención salud mental (psicólogo, psiquiatra...);Sí;20,2
Hombres;Andalucía;Atención salud mental (psicólogo, psiquiatra...);No;2.843,0
Hombres;Andalucía;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;609,8
Hombres;Andalucía;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Aragón;Atención médica;TOTAL;550,5
Hombres;Aragón;Atención médica;Sí;15,1
Hombres;Aragón;Atención médica;No;516,0
Hombres;Aragón;Atención médica;No necesitó asistencia;19,4
Hombres;Aragón;Atención médica;No consta;0,0
Hombres;Aragón;Atención dental;TOTAL;550,5
Hombres;Aragón;Atención dental;Sí;20,2
Hombres;Aragón;Atención dental;No;510,3
Hombres;Aragón;Atención dental;No necesitó asistencia;20,0
Hombres;Aragón;Atención dental;No consta;0,0
Hombres;Aragón;Medicamento recetado;TOTAL;550,5
Hombres;Aragón;Medicamento recetado;Sí;7,6
Hombres;Aragón;Medicamento recetado;No;516,2
Hombres;Aragón;Medicamento recetado;No necesitó asistencia;26,7
Hombres;Aragón;Medicamento recetado;No consta;0,0
Hombres;Aragón;Atención salud mental (psicólogo, psiquiatra...);TOTAL;550,5
Hombres;Aragón;Atención salud mental (psicólogo, psiquiatra...);Sí;0,0
Hombres;Aragón;Atención salud mental (psicólogo, psiquiatra...);No;507,8
Hombres;Aragón;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;42,7
Hombres;Aragón;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Asturias, Principado de;Atención médica;TOTAL;425,8
Hombres;Asturias, Principado de;Atención médica;Sí;1,9
Hombres;Asturias, Principado de;Atención médica;No;411,2
Hombres;Asturias, Principado de;Atención médica;No necesitó asistencia;12,6
Hombres;Asturias, Principado de;Atención médica;No consta;0,0
Hombres;Asturias, Principado de;Atención dental;TOTAL;425,8
Hombres;Asturias, Principado de;Atención dental;Sí;28,4
Hombres;Asturias, Principado de;Atención dental;No;382,8
Hombres;Asturias, Principado de;Atención dental;No necesitó asistencia;14,5
Hombres;Asturias, Principado de;Atención dental;No consta;0,0
Hombres;Asturias, Principado de;Medicamento recetado;TOTAL;425,8
Hombres;Asturias, Principado de;Medicamento recetado;Sí;0,8
Hombres;Asturias, Principado de;Medicamento recetado;No;397,8
Hombres;Asturias, Principado de;Medicamento recetado;No necesitó asistencia;27,1
Hombres;Asturias, Principado de;Medicamento recetado;No consta;0,0
Hombres;Asturias, Principado de;Atención salud mental (psicólogo, psiquiatra...);TOTAL;425,8
Hombres;Asturias, Principado de;Atención salud mental (psicólogo, psiquiatra...);Sí;1,4
Hombres;Asturias, Principado de;Atención salud mental (psicólogo, psiquiatra...);No;268,7
Hombres;Asturias, Principado de;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;155,6
Hombres;Asturias, Principado de;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Balears, Illes;Atención médica;TOTAL;512,0
Hombres;Balears, Illes;Atención médica;Sí;0,0
Hombres;Balears, Illes;Atención médica;No;510,8
Hombres;Balears, Illes;Atención médica;No necesitó asistencia;1,1
Hombres;Balears, Illes;Atención médica;No consta;0,0
Hombres;Balears, Illes;Atención dental;TOTAL;512,0
Hombres;Balears, Illes;Atención dental;Sí;26,4
Hombres;Balears, Illes;Atención dental;No;471,9
Hombres;Balears, Illes;Atención dental;No necesitó asistencia;13,6
Hombres;Balears, Illes;Atención dental;No consta;0,0
Hombres;Balears, Illes;Medicamento recetado;TOTAL;512,0
Hombres;Balears, Illes;Medicamento recetado;Sí;5,1
Hombres;Balears, Illes;Medicamento recetado;No;503,8
Hombres;Balears, Illes;Medicamento recetado;No necesitó asistencia;3,0
Hombres;Balears, Illes;Medicamento recetado;No consta;0,0
Hombres;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);TOTAL;512,0
Hombres;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);Sí;0,0
Hombres;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);No;477,4
Hombres;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;34,6
Hombres;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Canarias;Atención médica;TOTAL;953,4
Hombres;Canarias;Atención médica;Sí;67,2
Hombres;Canarias;Atención médica;No;884,3
Hombres;Canarias;Atención médica;No necesitó asistencia;1,9
Hombres;Canarias;Atención médica;No consta;0,0
Hombres;Canarias;Atención dental;TOTAL;953,4
Hombres;Canarias;Atención dental;Sí;230,9
Hombres;Canarias;Atención dental;No;715,0
Hombres;Canarias;Atención dental;No necesitó asistencia;7,4
Hombres;Canarias;Atención dental;No consta;0,0
Hombres;Canarias;Medicamento recetado;TOTAL;953,4
Hombres;Canarias;Medicamento recetado;Sí;6,8
Hombres;Canarias;Medicamento recetado;No;749,9
Hombres;Canarias;Medicamento recetado;No necesitó asistencia;196,7
Hombres;Canarias;Medicamento recetado;No consta;0,0
Hombres;Canarias;Atención salud mental (psicólogo, psiquiatra...);TOTAL;953,4
Hombres;Canarias;Atención salud mental (psicólogo, psiquiatra...);Sí;11,0
Hombres;Canarias;Atención salud mental (psicólogo, psiquiatra...);No;488,1
Hombres;Canarias;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;454,2
Hombres;Canarias;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Cantabria;Atención médica;TOTAL;241,9
Hombres;Cantabria;Atención médica;Sí;0,3
Hombres;Cantabria;Atención médica;No;241,7
Hombres;Cantabria;Atención médica;No necesitó asistencia;0,0
Hombres;Cantabria;Atención médica;No consta;0,0
Hombres;Cantabria;Atención dental;TOTAL;241,9
Hombres;Cantabria;Atención dental;Sí;2,5
Hombres;Cantabria;Atención dental;No;239,4
Hombres;Cantabria;Atención dental;No necesitó asistencia;0,0
Hombres;Cantabria;Atención dental;No consta;0,0
Hombres;Cantabria;Medicamento recetado;TOTAL;241,9
Hombres;Cantabria;Medicamento recetado;Sí;0,8
Hombres;Cantabria;Medicamento recetado;No;241,1
Hombres;Cantabria;Medicamento recetado;No necesitó asistencia;0,0
Hombres;Cantabria;Medicamento recetado;No consta;0,0
Hombres;Cantabria;Atención salud mental (psicólogo, psiquiatra...);TOTAL;241,9
Hombres;Cantabria;Atención salud mental (psicólogo, psiquiatra...);Sí;0,3
Hombres;Cantabria;Atención salud mental (psicólogo, psiquiatra...);No;241,0
Hombres;Cantabria;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;0,6
Hombres;Cantabria;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Castilla y León;Atención médica;TOTAL;1.015,7
Hombres;Castilla y León;Atención médica;Sí;2,8
Hombres;Castilla y León;Atención médica;No;956,9
Hombres;Castilla y León;Atención médica;No necesitó asistencia;56,0
Hombres;Castilla y León;Atención médica;No consta;0,0
Hombres;Castilla y León;Atención dental;TOTAL;1.015,7
Hombres;Castilla y León;Atención dental;Sí;33,3
Hombres;Castilla y León;Atención dental;No;820,4
Hombres;Castilla y León;Atención dental;No necesitó asistencia;162,0
Hombres;Castilla y León;Atención dental;No consta;0,0
Hombres;Castilla y León;Medicamento recetado;TOTAL;1.015,7
Hombres;Castilla y León;Medicamento recetado;Sí;6,6
Hombres;Castilla y León;Medicamento recetado;No;839,8
Hombres;Castilla y León;Medicamento recetado;No necesitó asistencia;169,0
Hombres;Castilla y León;Medicamento recetado;No consta;0,3
Hombres;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);TOTAL;1.015,7
Hombres;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);Sí;1,9
Hombres;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);No;477,5
Hombres;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;536,2
Hombres;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Castilla - La Mancha;Atención médica;TOTAL;856,5
Hombres;Castilla - La Mancha;Atención médica;Sí;8,1
Hombres;Castilla - La Mancha;Atención médica;No;794,5
Hombres;Castilla - La Mancha;Atención médica;No necesitó asistencia;53,9
Hombres;Castilla - La Mancha;Atención médica;No consta;0,0
Hombres;Castilla - La Mancha;Atención dental;TOTAL;856,5
Hombres;Castilla - La Mancha;Atención dental;Sí;80,8
Hombres;Castilla - La Mancha;Atención dental;No;580,9
Hombres;Castilla - La Mancha;Atención dental;No necesitó asistencia;191,8
Hombres;Castilla - La Mancha;Atención dental;No consta;3,0
Hombres;Castilla - La Mancha;Medicamento recetado;TOTAL;856,5
Hombres;Castilla - La Mancha;Medicamento recetado;Sí;1,7
Hombres;Castilla - La Mancha;Medicamento recetado;No;740,7
Hombres;Castilla - La Mancha;Medicamento recetado;No necesitó asistencia;114,0
Hombres;Castilla - La Mancha;Medicamento recetado;No consta;0,0
Hombres;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);TOTAL;856,5
Hombres;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);Sí;5,6
Hombres;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);No;446,1
Hombres;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;404,8
Hombres;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Hombres;Cataluña;Atención médica;TOTAL;3.107,2
Hombres;Cataluña;Atención médica;Sí;24,9
Hombres;Cataluña;Atención médica;No;2.835,6
Hombres;Cataluña;Atención médica;No necesitó asistencia;246,7
Hombres;Cataluña;Atención médica;No consta;0,0
