Sexo;Comunidad autónoma;Tipos atención sanitaria;Sí o no;Total
Mujeres;Balears, Illes;Medicamento recetado;No necesitó asistencia;1,8
Mujeres;Balears, Illes;Medicamento recetado;No consta;0,0
Mujeres;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);TOTAL;518,3
Mujeres;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);Sí;11,1
Mujeres;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);No;480,1
Mujeres;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;27,1
Mujeres;Balears, Illes;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Mujeres;Canarias;Atención médica;TOTAL;982,8
Mujeres;Canarias;Atención médica;Sí;140,9
Mujeres;Canarias;Atención médica;No;841,8
Mujeres;Canarias;Atención médica;No necesitó asistencia;0,0
Mujeres;Canarias;Atención médica;No consta;0,0
Mujeres;Canarias;Atención dental;TOTAL;982,8
Mujeres;Canarias;Atención dental;Sí;288,7
Mujeres;Canarias;Atención dental;No;694,1
Mujeres;Canarias;Atención dental;No necesitó asistencia;0,0
Mujeres;Canarias;Atención dental;No consta;0,0
Mujeres;Canarias;Medicamento recetado;TOTAL;982,8
Mujeres;Canarias;Medicamento recetado;Sí;27,5
Mujeres;Canarias;Medicamento recetado;No;811,0
Mujeres;Canarias;Medicamento recetado;No necesitó asistencia;144,3
Mujeres;Canarias;Medicamento recetado;No consta;0,0
Mujeres;Canarias;Atención salud mental (psicólogo, psiquiatra...);TOTAL;982,8
Mujeres;Canarias;Atención salud mental (psicólogo, psiquiatra...);Sí;16,4
Mujeres;Canarias;Atención salud mental (psicólogo, psiquiatra...);No;465,6
Mujeres;Canarias;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;500,8
Mujeres;Canarias;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Mujeres;Cantabria;Atención médica;TOTAL;258,1
Mujeres;Cantabria;Atención médica;Sí;0,6
Mujeres;Cantabria;Atención médica;No;257,5
Mujeres;Cantabria;Atención médica;No necesitó asistencia;0,0
Mujeres;Cantabria;Atención médica;No consta;0,0
Mujeres;Cantabria;Atención dental;TOTAL;258,1
Mujeres;Cantabria;Atención dental;Sí;2,6
Mujeres;Cantabria;Atención dental;No;255,5
Mujeres;Cantabria;Atención dental;No necesitó asistencia;0,0
Mujeres;Cantabria;Atención dental;No consta;0,0
Mujeres;Cantabria;Medicamento recetado;TOTAL;258,1
Mujeres;Cantabria;Medicamento recetado;Sí;0,0
Mujeres;Cantabria;Medicamento recetado;No;258,1
Mujeres;Cantabria;Medicamento recetado;No necesitó asistencia;0,0
Mujeres;Cantabria;Medicamento recetado;No consta;0,0
Mujeres;Cantabria;Atención salud mental (psicólogo, psiquiatra...);TOTAL;258,1
Mujeres;Cantabria;Atención salud mental (psicólogo, psiquiatra...);Sí;0,0
Mujeres;Cantabria;Atención salud mental (psicólogo, psiquiatra...);No;257,8
Mujeres;Cantabria;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;0,2
Mujeres;Cantabria;Atención salud mental (psicólogo, psiquiatra...);No consta;0,2
Mujeres;Castilla y León;Atención médica;TOTAL;1.048,0
Mujeres;Castilla y León;Atención médica;Sí;14,1
Mujeres;Castilla y León;Atención médica;No;1.011,6
Mujeres;Castilla y León;Atención médica;No necesitó asistencia;22,3
Mujeres;Castilla y León;Atención médica;No consta;0,0
Mujeres;Castilla y León;Atención dental;TOTAL;1.048,0
Mujeres;Castilla y León;Atención dental;Sí;106,2
Mujeres;Castilla y León;Atención dental;No;819,4
Mujeres;Castilla y León;Atención dental;No necesitó asistencia;122,4
Mujeres;Castilla y León;Atención dental;No consta;0,0
Mujeres;Castilla y León;Medicamento recetado;TOTAL;1.048,0
Mujeres;Castilla y León;Medicamento recetado;Sí;18,7
Mujeres;Castilla y León;Medicamento recetado;No;937,1
Mujeres;Castilla y León;Medicamento recetado;No necesitó asistencia;92,3
Mujeres;Castilla y León;Medicamento recetado;No consta;0,0
Mujeres;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);TOTAL;1.048,0
Mujeres;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);Sí;18,7
Mujeres;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);No;582,9
Mujeres;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;446,5
Mujeres;Castilla y León;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Mujeres;Castilla - La Mancha;Atención médica;TOTAL;853,2
Mujeres;Castilla - La Mancha;Atención médica;Sí;17,0
Mujeres;Castilla - La Mancha;Atención médica;No;820,9
Mujeres;Castilla - La Mancha;Atención médica;No necesitó asistencia;14,9
Mujeres;Castilla - La Mancha;Atención médica;No consta;0,4
Mujeres;Castilla - La Mancha;Atención dental;TOTAL;853,2
Mujeres;Castilla - La Mancha;Atención dental;Sí;95,6
Mujeres;Castilla - La Mancha;Atención dental;No;571,9
Mujeres;Castilla - La Mancha;Atención dental;No necesitó asistencia;184,9
Mujeres;Castilla - La Mancha;Atención dental;No consta;0,7
Mujeres;Castilla - La Mancha;Medicamento recetado;TOTAL;853,2
Mujeres;Castilla - La Mancha;Medicamento recetado;Sí;2,2
Mujeres;Castilla - La Mancha;Medicamento recetado;No;806,0
Mujeres;Castilla - La Mancha;Medicamento recetado;No necesitó asistencia;44,6
Mujeres;Castilla - La Mancha;Medicamento recetado;No consta;0,4
Mujeres;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);TOTAL;853,2
Mujeres;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);Sí;1,8
Mujeres;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);No;465,6
Mujeres;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;385,3
Mujeres;Castilla - La Mancha;Atención salud mental (psicólogo, psiquiatra...);No consta;0,4
Mujeres;Cataluña;Atención médica;TOTAL;3.290,4
Mujeres;Cataluña;Atención médica;Sí;32,5
Mujeres;Cataluña;Atención médica;No;3.170,1
Mujeres;Cataluña;Atención médica;No necesitó asistencia;86,9
Mujeres;Cataluña;Atención médica;No consta;0,9
Mujeres;Cataluña;Atención dental;TOTAL;3.290,4
Mujeres;Cataluña;Atención dental;Sí;257,5
Mujeres;Cataluña;Atención dental;No;2.775,0
Mujeres;Cataluña;Atención dental;No necesitó asistencia;257,1
Mujeres;Cataluña;Atención dental;No consta;0,9
Mujeres;Cataluña;Medicamento recetado;TOTAL;3.290,4
Mujeres;Cataluña;Medicamento recetado;Sí;35,6
Mujeres;Cataluña;Medicamento recetado;No;3.009,8
Mujeres;Cataluña;Medicamento recetado;No necesitó asistencia;244,2
Mujeres;Cataluña;Medicamento recetado;No consta;0,9
Mujeres;Cataluña;Atención salud mental (psicólogo, psiquiatra...);TOTAL;3.290,4
Mujeres;Cataluña;Atención salud mental (psicólogo, psiquiatra...);Sí;26,5
Mujeres;Cataluña;Atención salud mental (psicólogo, psiquiatra...);No;2.280,6
Mujeres;Cataluña;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;982,4
Mujeres;Cataluña;Atención salud mental (psicólogo, psiquiatra...);No consta;0,9
Mujeres;Comunitat Valenciana;Atención médica;TOTAL;2.175,5
Mujeres;Comunitat Valenciana;Atención médica;Sí;31,8
Mujeres;Comunitat Valenciana;Atención médica;No;2.046,5
Mujeres;Comunitat Valenciana;Atención médica;No necesitó asistencia;97,2
Mujeres;Comunitat Valenciana;Atención médica;No consta;0,0
Mujeres;Comunitat Valenciana;Atención dental;TOTAL;2.175,5
Mujeres;Comunitat Valenciana;Atención dental;Sí;319,2
Mujeres;Comunitat Valenciana;Atención dental;No;1.525,9
Mujeres;Comunitat Valenciana;Atención dental;No necesitó asistencia;330,5
Mujeres;Comunitat Valenciana;Atención dental;No consta;0,0
Mujeres;Comunitat Valenciana;Medicamento recetado;TOTAL;2.175,5
Mujeres;Comunitat Valenciana;Medicamento recetado;Sí;56,3
Mujeres;Comunitat Valenciana;Medicamento recetado;No;1.914,8
Mujeres;Comunitat Valenciana;Medicamento recetado;No necesitó asistencia;204,5
Mujeres;Comunitat Valenciana;Medicamento recetado;No consta;0,0
Mujeres;Comunitat Valenciana;Atención salud mental (psicólogo, psiquiatra...);TOTAL;2.175,5
Mujeres;Comunitat Valenciana;Atención salud mental (psicólogo, psiquiatra...);Sí;24,4
Mujeres;Comunitat Valenciana;Atención salud mental (psicólogo, psiquiatra...);No;663,0
Mujeres;Comunitat Valenciana;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;1.488,1
Mujeres;Comunitat Valenciana;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Mujeres;Extremadura;Atención médica;TOTAL;457,9
Mujeres;Extremadura;Atención médica;Sí;9,8
Mujeres;Extremadura;Atención médica;No;397,2
Mujeres;Extremadura;Atención médica;No necesitó asistencia;50,9
Mujeres;Extremadura;Atención médica;No consta;0,0
Mujeres;Extremadura;Atención dental;TOTAL;457,9
Mujeres;Extremadura;Atención dental;Sí;12,7
Mujeres;Extremadura;Atención dental;No;338,1
Mujeres;Extremadura;Atención dental;No necesitó asistencia;107,1
Mujeres;Extremadura;Atención dental;No consta;0,0
Mujeres;Extremadura;Medicamento recetado;TOTAL;457,9
Mujeres;Extremadura;Medicamento recetado;Sí;3,7
Mujeres;Extremadura;Medicamento recetado;No;330,0
Mujeres;Extremadura;Medicamento recetado;No necesitó asistencia;124,2
Mujeres;Extremadura;Medicamento recetado;No consta;0,0
Mujeres;Extremadura;Atención salud mental (psicólogo, psiquiatra...);TOTAL;457,9
Mujeres;Extremadura;Atención salud mental (psicólogo, psiquiatra...);Sí;1,0
Mujeres;Extremadura;Atención salud mental (psicólogo, psiquiatra...);No;135,1
Mujeres;Extremadura;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;321,8
Mujeres;Extremadura;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Mujeres;Galicia;Atención médica;TOTAL;1.231,2
Mujeres;Galicia;Atención médica;Sí;90,7
Mujeres;Galicia;Atención médica;No;1.108,4
Mujeres;Galicia;Atención médica;No necesitó asistencia;32,1
Mujeres;Galicia;Atención médica;No consta;0,0
Mujeres;Galicia;Atención dental;TOTAL;1.231,2
Mujeres;Galicia;Atención dental;Sí;222,2
Mujeres;Galicia;Atención dental;No;906,7
Mujeres;Galicia;Atención dental;No necesitó asistencia;102,0
Mujeres;Galicia;Atención dental;No consta;0,3
Mujeres;Galicia;Medicamento recetado;TOTAL;1.231,2
Mujeres;Galicia;Medicamento recetado;Sí;34,3
Mujeres;Galicia;Medicamento recetado;No;1.080,8
Mujeres;Galicia;Medicamento recetado;No necesitó asistencia;115,8
Mujeres;Galicia;Medicamento recetado;No consta;0,3
Mujeres;Galicia;Atención salud mental (psicólogo, psiquiatra...);TOTAL;1.231,2
Mujeres;Galicia;Atención salud mental (psicólogo, psiquiatra...);Sí;19,9
Mujeres;Galicia;Atención salud mental (psicólogo, psiquiatra...);No;687,5
Mujeres;Galicia;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;523,7
Mujeres;Galicia;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Mujeres;Madrid, Comunidad de;Atención médica;TOTAL;2.971,5
Mujeres;Madrid, Comunidad de;Atención médica;Sí;9,2
Mujeres;Madrid, Comunidad de;Atención médica;No;2.894,9
Mujeres;Madrid, Comunidad de;Atención médica;No necesitó asistencia;67,5
Mujeres;Madrid, Comunidad de;Atención médica;No consta;0,0
Mujeres;Madrid, Comunidad de;Atención dental;TOTAL;2.971,5
Mujeres;Madrid, Comunidad de;Atención dental;Sí;237,5
Mujeres;Madrid, Comunidad de;Atención dental;No;2.414,3
Mujeres;Madrid, Comunidad de;Atención dental;No necesitó asistencia;315,4
Mujeres;Madrid, Comunidad de;Atención dental;No consta;4,3
Mujeres;Madrid, Comunidad de;Medicamento recetado;TOTAL;2.971,5
Mujeres;Madrid, Comunidad de;Medicamento recetado;Sí;25,7
Mujeres;Madrid, Comunidad de;Medicamento recetado;No;2.800,5
Mujeres;Madrid, Comunidad de;Medicamento recetado;No necesitó asistencia;145,3
Mujeres;Madrid, Comunidad de;Medicamento recetado;No consta;0,0
Mujeres;Madrid, Comunidad de;Atención salud mental (psicólogo, psiquiatra...);TOTAL;2.971,5
Mujeres;Madrid, Comunidad de;Atención salud mental (psicólogo, psiquiatra...);Sí;9,4
Mujeres;Madrid, Comunidad de;Atención salud mental (psicólogo, psiquiatra...);No;1.849,4
Mujeres;Madrid, Comunidad de;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;1.112,7
Mujeres;Madrid, Comunidad de;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Mujeres;Murcia, Región de;Atención médica;TOTAL;624,9
Mujeres;Murcia, Región de;Atención médica;Sí;25,1
Mujeres;Murcia, Región de;Atención médica;No;599,8
Mujeres;Murcia, Región de;Atención médica;No necesitó asistencia;0,0
Mujeres;Murcia, Región de;Atención médica;No consta;0,0
Mujeres;Murcia, Región de;Atención dental;TOTAL;624,9
Mujeres;Murcia, Región de;Atención dental;Sí;93,3
Mujeres;Murcia, Región de;Atención dental;No;518,3
Mujeres;Murcia, Región de;Atención dental;No necesitó asistencia;13,3
Mujeres;Murcia, Región de;Atención dental;No consta;0,0
Mujeres;Murcia, Región de;Medicamento recetado;TOTAL;624,9
Mujeres;Murcia, Región de;Medicamento recetado;Sí;10,8
Mujeres;Murcia, Región de;Medicamento recetado;No;585,1
Mujeres;Murcia, Región de;Medicamento recetado;No necesitó asistencia;29,0
Mujeres;Murcia, Región de;Medicamento recetado;No consta;0,0
Mujeres;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);TOTAL;624,9
Mujeres;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);Sí;28,1
Mujeres;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);No;488,7
Mujeres;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;108,2
Mujeres;Murcia, Región de;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Mujeres;Navarra, Comunidad Foral de;Atención médica;TOTAL;277,8
Mujeres;Navarra, Comunidad Foral de;Atención médica;Sí;2,7
Mujeres;Navarra, Comunidad Foral de;Atención médica;No;272,1
Mujeres;Navarra, Comunidad Foral de;Atención médica;No necesitó asistencia;3,0
Mujeres;Navarra, Comunidad Foral de;Atención médica;No consta;0,0
Mujeres;Navarra, Comunidad Foral de;Atención dental;TOTAL;277,8
Mujeres;Navarra, Comunidad Foral de;Atención dental;Sí;48,4
Mujeres;Navarra, Comunidad Foral de;Atención dental;No;211,3
Mujeres;Navarra, Comunidad Foral de;Atención dental;No necesitó asistencia;18,1
Mujeres;Navarra, Comunidad Foral de;Atención dental;No consta;0,0
Mujeres;Navarra, Comunidad Foral de;Medicamento recetado;TOTAL;277,8
Mujeres;Navarra, Comunidad Foral de;Medicamento recetado;Sí;5,1
Mujeres;Navarra, Comunidad Foral de;Medicamento recetado;No;264,7
Mujeres;Navarra, Comunidad Foral de;Medicamento recetado;No necesitó asistencia;7,9
Mujeres;Navarra, Comunidad Foral de;Medicamento recetado;No consta;0,0
Mujeres;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);TOTAL;277,8
Mujeres;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);Sí;5,0
Mujeres;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);No;169,2
Mujeres;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;103,6
Mujeres;Navarra, Comunidad Foral de;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Mujeres;País Vasco;Atención médica;TOTAL;968,3
Mujeres;País Vasco;Atención médica;Sí;13,8
Mujeres;País Vasco;Atención médica;No;948,1
Mujeres;País Vasco;Atención médica;No necesitó asistencia;6,5
Mujeres;País Vasco;Atención médica;No consta;0,0
Mujeres;País Vasco;Atención dental;TOTAL;968,3
Mujeres;País Vasco;Atención dental;Sí;56,4
Mujeres;País Vasco;Atención dental;No;873,8
Mujeres;País Vasco;Atención dental;No necesitó asistencia;38,1
Mujeres;País Vasco;Atención dental;No consta;0,0
Mujeres;País Vasco;Medicamento recetado;TOTAL;968,3
Mujeres;País Vasco;Medicamento recetado;Sí;17,5
Mujeres;País Vasco;Medicamento recetado;No;917,6
Mujeres;País Vasco;Medicamento recetado;No necesitó asistencia;33,3
Mujeres;País Vasco;Medicamento recetado;No consta;0,0
Mujeres;País Vasco;Atención salud mental (psicólogo, psiquiatra...);TOTAL;968,3
Mujeres;País Vasco;Atención salud mental (psicólogo, psiquiatra...);Sí;9,1
Mujeres;País Vasco;Atención salud mental (psicólogo, psiquiatra...);No;717,2
Mujeres;País Vasco;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;242,0
Mujeres;País Vasco;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Mujeres;Rioja, La;Atención médica;TOTAL;136,2
Mujeres;Rioja, La;Atención médica;Sí;0,2
Mujeres;Rioja, La;Atención médica;No;134,2
Mujeres;Rioja, La;Atención médica;No necesitó asistencia;1,8
Mujeres;Rioja, La;Atención médica;No consta;0,0
Mujeres;Rioja, La;Atención dental;TOTAL;136,2
Mujeres;Rioja, La;Atención dental;Sí;15,2
Mujeres;Rioja, La;Atención dental;No;118,2
Mujeres;Rioja, La;Atención dental;No necesitó asistencia;2,9
Mujeres;Rioja, La;Atención dental;No consta;0,0
Mujeres;Rioja, La;Medicamento recetado;TOTAL;136,2
Mujeres;Rioja, La;Medicamento recetado;Sí;1,4
Mujeres;Rioja, La;Medicamento recetado;No;133,0
Mujeres;Rioja, La;Medicamento recetado;No necesitó asistencia;1,8
Mujeres;Rioja, La;Medicamento recetado;No consta;0,0
Mujeres;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);TOTAL;136,2
Mujeres;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);Sí;0,8
Mujeres;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);No;98,6
Mujeres;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;36,9
Mujeres;Rioja, La;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Mujeres;Ceuta;Atención médica;TOTAL;33,2
Mujeres;Ceuta;Atención médica;Sí;0,0
Mujeres;Ceuta;Atención médica;No;33,2
Mujeres;Ceuta;Atención médica;No necesitó asistencia;0,0
Mujeres;Ceuta;Atención médica;No consta;0,0
Mujeres;Ceuta;Atención dental;TOTAL;33,2
Mujeres;Ceuta;Atención dental;Sí;1,8
Mujeres;Ceuta;Atención dental;No;31,4
Mujeres;Ceuta;Atención dental;No necesitó asistencia;0,0
Mujeres;Ceuta;Atención dental;No consta;0,0
Mujeres;Ceuta;Medicamento recetado;TOTAL;33,2
Mujeres;Ceuta;Medicamento recetado;Sí;0,0
Mujeres;Ceuta;Medicamento recetado;No;33,2
Mujeres;Ceuta;Medicamento recetado;No necesitó asistencia;0,0
Mujeres;Ceuta;Medicamento recetado;No consta;0,0
Mujeres;Ceuta;Atención salud mental (psicólogo, psiquiatra...);TOTAL;33,2
Mujeres;Ceuta;Atención salud mental (psicólogo, psiquiatra...);Sí;0,0
Mujeres;Ceuta;Atención salud mental (psicólogo, psiquiatra...);No;32,4
Mujeres;Ceuta;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;0,8
Mujeres;Ceuta;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
Mujeres;Melilla;Atención médica;TOTAL;32,3
Mujeres;Melilla;Atención médica;Sí;4,3
Mujeres;Melilla;Atención médica;No;23,7
Mujeres;Melilla;Atención médica;No necesitó asistencia;4,3
Mujeres;Melilla;Atención médica;No consta;0,0
Mujeres;Melilla;Atención dental;TOTAL;32,3
Mujeres;Melilla;Atención dental;Sí;3,9
Mujeres;Melilla;Atención dental;No;18,1
Mujeres;Melilla;Atención dental;No necesitó asistencia;10,4
Mujeres;Melilla;Atención dental;No consta;0,0
Mujeres;Melilla;Medicamento recetado;TOTAL;32,3
Mujeres;Melilla;Medicamento recetado;Sí;0,0
Mujeres;Melilla;Medicamento recetado;No;20,3
Mujeres;Melilla;Medicamento recetado;No necesitó asistencia;12,1
Mujeres;Melilla;Medicamento recetado;No consta;0,0
Mujeres;Melilla;Atención salud mental (psicólogo, psiquiatra...);TOTAL;32,3
Mujeres;Melilla;Atención salud mental (psicólogo, psiquiatra...);Sí;0,0
Mujeres;Melilla;Atención salud mental (psicólogo, psiquiatra...);No;6,4
Mujeres;Melilla;Atención salud mental (psicólogo, psiquiatra...);No necesitó asistencia;26,0
Mujeres;Melilla;Atención salud mental (psicólogo, psiquiatra...);No consta;0,0
